Elevation,Tendencia
0.0,7.307134759809018E-5
100.0,0.0012368180127776095
200.0,0.004382266065724303
300.0,0.014417134871524299
400.0,0.027862838016734694
500.0,0.041371053446137826
600.0,0.03891719768063139
700.0,0.03854163046988157
800.0,0.03658676984113126
900.0,0.028994603008397367
1000.0,0.022739464048324276
1100.0,0.01892663497345567
1200.0,0.02017032196730303
1300.0,0.004464494418310211
1400.0,-0.0814085802412624
1500.0,-0.2316708678802892
1600.0,-0.48954004586560546
1700.0,-2.0410216567932404
1800.0,-5.2682928440815555
1900.0,-6.081964869831105
2000.0,-3.135006054767663
2100.0,-1.3448694481064523
2200.0,-0.8094473523650492
2300.0,-0.7738845027942873
2400.0,-0.4806106870229009
2500.0,-0.5644720730903269
2600.0,-1.255877463785324
2700.0,-1.7226195797943673
2800.0,-2.0
