Year,SCA,CCA
2000-02-01,0.41,0.02
2000-03-01,0.42,0.75
2000-04-01,6.03,15.54
2000-05-01,13.41,14.04
2000-06-01,29.71,22.82
2000-07-01,21.97,11.08
2000-08-01,9.13,10.11
2000-09-01,1.86,3.66
2000-10-01,0.42,0.48
2000-11-01,0.32,0.01
2000-12-01,0.23,0.03
2001-01-01,2.55,2.01
2001-02-01,1.27,0.18
2001-03-01,8.55,5.22
2001-04-01,7.63,2.91
2001-05-01,9.79,16.72
2001-06-01,16.73,3.58
2001-07-01,6.85,12.31
2001-08-01,5.30,10.59
2001-09-01,6.34,10.11
2001-10-01,2.10,2.01
2001-11-01,1.15,0.02
2001-12-01,2.89,3.28
2002-01-01,0.98,0.00
2002-02-01,0.78,0.05
2002-03-01,0.63,1.22
2002-04-01,3.58,5.68
2002-05-01,52.81,33.56
2002-06-01,66.75,22.60
2002-07-01,92.71,10.34
2002-08-01,68.41,0.74
2002-09-01,44.45,0.20
2002-10-01,18.76,0.11
2002-11-01,7.05,0.01
2002-12-01,2.57,0.01
2003-01-01,1.31,0.00
2003-02-01,0.88,0.01
2003-03-01,0.96,0.00
2003-04-01,1.58,1.23
2003-05-01,31.74,16.48
2003-06-01,28.79,6.92
2003-07-01,25.82,11.88
2003-08-01,40.57,2.90
2003-09-01,11.86,1.56
2003-10-01,3.97,0.00
2003-11-01,1.67,0.02
2003-12-01,0.73,0.00
2004-01-01,1.17,0.88
2004-02-01,1.30,0.05
2004-03-01,0.92,0.05
2004-04-01,1.80,0.18
2004-05-01,1.80,0.20
2004-06-01,0.67,0.30
2004-07-01,15.26,3.52
2004-08-01,28.75,21.48
2004-09-01,12.89,0.00
2004-10-01,2.43,0.03
2004-11-01,2.46,2.28
2004-12-01,0.81,0.00
2005-01-01,1.41,0.15
2005-02-01,1.19,1.30
2005-03-01,1.88,0.13
2005-04-01,16.08,10.83
2005-05-01,57.62,9.26
2005-06-01,37.44,11.79
2005-07-01,20.50,1.17
2005-08-01,5.30,1.83
2005-09-01,22.70,7.42
2005-10-01,6.66,0.04
2005-11-01,1.48,0.42
2005-12-01,0.78,0.00
2006-01-01,1.23,0.02
2006-02-01,3.25,0.60
2006-03-01,0.80,0.00
2006-04-01,0.69,0.01
2006-05-01,22.09,1.67
2006-06-01,53.01,9.42
2006-07-01,7.51,0.22
2006-08-01,11.73,6.14
2006-09-01,59.67,0.15
2006-10-01,4.72,0.01
2006-11-01,1.21,0.05
2006-12-01,0.73,0.00
2007-01-01,1.53,0.22
2007-02-01,2.00,0.13
2007-03-01,0.57,0.00
2007-04-01,4.52,2.65
2007-05-01,29.34,13.70
2007-06-01,37.14,35.33
2007-07-01,65.64,13.38
2007-08-01,39.47,0.81
2007-09-01,33.91,1.70
2007-10-01,11.16,0.03
2007-11-01,3.39,0.02
2007-12-01,1.27,0.00
2008-01-01,2.06,0.25
2008-02-01,1.72,0.00
2008-03-01,1.12,0.00
