Year,SCA,CCA
2000-02-01,0.36,0.17
2000-03-01,0.42,1.34
2000-04-01,1.16,15.27
2000-05-01,16.24,14.88
2000-06-01,43.65,11.55
2000-07-01,15.92,7.13
2000-08-01,7.85,16.37
2000-09-01,3.97,0.78
2000-10-01,0.71,1.71
2000-11-01,0.13,0.00
2000-12-01,0.06,0.44
2001-01-01,1.01,4.74
2001-02-01,2.01,4.16
2001-03-01,6.68,2.58
2001-04-01,3.09,0.85
2001-05-01,9.14,6.15
2001-06-01,3.77,0.01
2001-07-01,1.63,0.04
2001-08-01,2.16,0.55
2001-09-01,2.98,1.03
2001-10-01,0.60,0.05
2001-11-01,0.15,0.02
2001-12-01,0.46,2.61
2002-01-01,0.19,0.00
2002-02-01,0.62,4.85
2002-03-01,1.98,4.18
2002-04-01,3.58,0.83
2002-05-01,22.90,10.85
2002-06-01,22.20,4.55
2002-07-01,60.67,11.85
2002-08-01,24.82,0.10
2002-09-01,9.63,0.00
2002-10-01,3.99,2.36
2002-11-01,1.35,0.02
2002-12-01,0.30,0.26
2003-01-01,0.27,2.32
2003-02-01,1.35,0.12
2003-03-01,0.38,0.00
2003-04-01,0.36,0.00
2003-05-01,21.36,2.85
2003-06-01,13.94,0.00
2003-07-01,12.25,5.50
2003-08-01,20.11,0.66
2003-09-01,3.85,0.00
2003-10-01,0.94,0.00
2003-11-01,0.21,0.00
2003-12-01,0.13,0.13
2004-01-01,0.72,2.56
2004-02-01,1.19,0.31
2004-03-01,0.43,0.00
2004-04-01,0.38,0.00
2004-05-01,0.92,0.29
2004-06-01,0.50,0.76
2004-07-01,13.01,3.99
2004-08-01,32.80,22.49
2004-09-01,6.96,0.01
2004-10-01,1.44,0.00
2004-11-01,0.32,0.00
2004-12-01,0.20,0.00
2005-01-01,1.52,0.72
2005-02-01,0.84,11.12
2005-03-01,0.78,0.00
2005-04-01,11.23,2.50
2005-05-01,22.66,1.58
2005-06-01,8.07,0.03
2005-07-01,3.57,0.00
2005-08-01,1.00,0.01
2005-09-01,41.86,9.76
2005-10-01,25.13,0.03
2005-11-01,3.33,0.09
2005-12-01,0.46,0.15
2006-01-01,2.28,0.73
2006-02-01,5.80,0.61
2006-03-01,0.56,0.00
2006-04-01,0.34,0.00
2006-05-01,8.01,0.75
2006-06-01,17.05,2.62
2006-07-01,2.53,0.09
2006-08-01,4.06,2.04
2006-09-01,9.81,0.00
2006-10-01,0.37,0.00
2006-11-01,0.26,0.00
2006-12-01,0.22,0.56
2007-01-01,0.66,1.22
2007-02-01,1.96,0.08
2007-03-01,0.25,0.01
2007-04-01,0.22,0.03
2007-05-01,1.14,0.41
2007-06-01,14.33,13.79
2007-07-01,29.47,8.34
2007-08-01,10.56,1.26
2007-09-01,4.98,0.88
2007-10-01,1.00,0.02
2007-11-01,0.17,0.21
2007-12-01,0.13,0.00
2008-01-01,1.13,2.40
2008-02-01,2.28,0.09
2008-03-01,0.28,0.00
2008-04-01,0.58,0.00
2008-05-01,0.69,0.06
2008-06-01,22.50,7.75
2008-07-01,15.43,0.25
2008-08-01,2.29,0.00
2008-09-01,0.88,0.01
2008-10-01,0.25,0.00
2008-11-01,0.18,0.00
2008-12-01,0.19,0.01
2009-01-01,0.55,0.02
2009-02-01,1.16,0.17
2009-03-01,1.70,0.09
2009-04-01,1.78,0.00
2009-05-01,0.95,1.19
2009-06-01,1.62,0.00
2009-07-01,24.81,18.72
2009-08-01,13.05,0.02
2009-09-01,3.53,0.24
2009-10-01,0.83,0.23
2009-11-01,0.15,0.02
2009-12-01,0.11,0.39
2010-01-01,0.22,0.06
2010-02-01,0.28,0.27
2010-03-01,0.23,0.00
2010-04-01,0.22,3.59
2010-05-01,23.12,11.02
2010-06-01,5.24,0.14
2010-07-01,1.83,0.00
2010-08-01,1.09,0.27
2010-09-01,0.32,0.51
2010-10-01,0.49,0.02
2010-11-01,0.29,0.00
2010-12-01,0.12,0.00
2011-01-01,0.22,1.78
2011-02-01,3.33,2.39
2011-03-01,1.02,0.14
2011-04-01,3.45,0.29
2011-05-01,0.77,0.08
2011-06-01,30.97,16.42
2011-07-01,73.80,10.23
2011-08-01,41.70,0.13
2011-09-01,17.18,0.01
2011-10-01,5.70,0.64
2011-11-01,1.54,0.00
2011-12-01,0.50,0.21
2012-01-01,4.45,1.39
2012-02-01,7.49,5.38
2012-03-01,4.70,0.05
2012-04-01,8.11,1.30
2012-05-01,3.58,0.00
2012-06-01,19.10,4.16
2012-07-01,34.76,8.68
2012-08-01,10.33,0.01
2012-09-01,3.57,0.00
2012-10-01,1.27,0.02
2012-11-01,0.29,0.00
2012-12-01,0.38,0.00
2013-01-01,1.21,5.71
2013-02-01,2.83,1.02
2013-03-01,0.38,0.00
2013-04-01,0.27,0.00
2013-05-01,26.43,5.75
2013-06-01,52.29,19.02
2013-07-01,37.75,8.31
2013-08-01,31.87,5.38
2013-09-01,29.44,1.11
2013-10-01,8.73,0.00
2013-11-01,2.05,0.00
2013-12-01,0.39,0.06
2014-01-01,1.89,0.55
2014-02-01,0.36,0.01
2014-03-01,0.82,0.05
2014-04-01,0.57,0.03
2014-05-01,13.12,8.05
2014-06-01,12.82,4.22
2014-07-01,2.59,0.22
2014-08-01,3.48,1.10
2014-09-01,5.36,1.28
2014-10-01,0.58,0.09
2014-11-01,0.19,0.00
2014-12-01,0.13,0.00
2015-01-01,0.52,0.69
2015-02-01,1.72,0.12
2015-03-01,11.79,2.49
2015-04-01,14.73,0.07
2015-05-01,13.30,2.98
2015-06-01,10.08,0.44
2015-07-01,10.19,7.75
2015-08-01,13.38,1.66
2015-09-01,3.11,0.10
2015-10-01,4.81,2.82
2015-11-01,1.15,0.00
2015-12-01,0.21,2.15
2016-01-01,0.19,0.00
2016-02-01,0.41,8.69
2016-03-01,0.29,0.00
2016-04-01,4.85,0.50
2016-05-01,10.63,5.36
2016-06-01,3.48,0.29
2016-07-01,18.85,9.06
2016-08-01,4.00,0.14
2016-09-01,1.38,0.00
2016-10-01,0.28,0.00
2016-11-01,0.13,0.01
2016-12-01,0.13,0.00
2017-01-01,2.05,0.40
2017-02-01,3.27,9.25
2017-03-01,5.00,0.02
2017-04-01,7.94,1.17
2017-05-01,21.54,16.09
2017-06-01,82.09,18.45
2017-07-01,70.66,0.19
2017-08-01,42.94,0.06
2017-09-01,15.65,0.02
2017-10-01,6.89,0.00
2017-11-01,2.33,0.00
2017-12-01,0.52,0.51
2018-01-01,0.34,0.97
2018-02-01,6.43,2.02
2018-03-01,1.90,0.06
2018-04-01,0.65,0.00
2018-05-01,0.71,0.15
2018-06-01,27.91,5.66
2018-07-01,33.75,10.87
2018-08-01,56.23,5.48
2018-09-01,16.27,0.00
2018-10-01,5.76,0.29
2018-11-01,1.37,0.00
2018-12-01,0.25,0.84
2019-01-01,0.71,4.82
2019-02-01,7.08,9.10
2019-03-01,1.22,0.00
2019-04-01,2.75,0.08
2019-05-01,2.82,4.70
2019-06-01,18.52,6.99
2019-07-01,12.49,4.66
2019-08-01,2.93,0.00
2019-09-01,21.05,2.48
2019-10-01,1.88,0.03
2019-11-01,0.37,0.09
2019-12-01,0.28,1.02
2020-01-01,2.87,3.27
2020-02-01,0.90,0.05
2020-03-01,1.87,0.75
2020-04-01,0.61,0.01
2020-05-01,0.35,0.58
2020-06-01,3.44,0.55
2020-07-01,0.54,0.02
2020-08-01,15.77,8.55
2020-09-01,43.29,0.63
2020-10-01,8.39,0.00
2020-11-01,1.21,0.00
2020-12-01,0.46,0.10
2021-01-01,1.25,1.26
2021-02-01,0.95,0.00
2021-03-01,1.79,0.04
2021-04-01,1.00,0.02
2021-05-01,16.55,8.08
2021-06-01,61.00,9.04
2021-07-01,18.24,5.25
2021-08-01,17.89,0.28
2021-09-01,4.27,0.01
2021-10-01,1.88,0.83
2021-11-01,0.38,0.00
2021-12-01,0.93,10.79
2022-01-01,2.00,0.39
2022-02-01,0.38,0.04
2022-03-01,3.28,0.70
2022-04-01,0.19,0.31
2022-05-01,0.66,0.00
2022-06-01,29.55,3.74
2022-07-01,15.75,7.20
2022-08-01,5.91,0.19
2022-09-01,1.54,0.47
2022-10-01,0.33,0.00
2022-11-01,0.30,0.00
2022-12-01,0.89,0.12
2023-01-01,0.61,0.08
2023-02-01,7.82,0.97
2023-03-01,1.85,0.28
2023-04-01,5.14,0.03
2023-05-01,0.70,0.09
2023-06-01,0.51,0.02
2023-07-01,0.40,0.00
2023-08-01,0.29,1.65
2023-09-01,0.25,0.00
2023-10-01,0.34,0.02
2023-11-01,0.26,0.10
2023-12-01,0.11,0.00
2024-01-01,0.36,0.00
2024-02-01,1.90,1.34
2024-03-01,1.55,0.50
2024-04-01,7.66,1.24
2024-05-01,5.39,3.54
2024-06-01,1.27,0.02
2024-07-01,1.21,1.55
2024-08-01,1.17,0.09
2024-09-01,0.29,0.00
2024-10-01,1.38,0.83
2024-11-01,0.16,0.00
2024-12-01,0.09,0.00
2025-01-01,0.33,0.07
2025-02-01,2.76,0.71
2025-03-01,0.59,0.01
2025-04-01,2.62,0.94
2025-05-01,0.50,0.00
