Year,SCA,CCA
2000-02-01,0.05,59.41
2000-03-01,2.13,64.34
2000-04-01,5.34,63.87
2000-05-01,7.14,51.83
2000-06-01,33.98,59.29
2000-07-01,28.64,55.55
2000-08-01,22.78,55.40
2000-09-01,13.40,52.20
2000-10-01,2.26,63.48
2000-11-01,1.60,64.95
2000-12-01,0.94,67.68
2001-01-01,0.63,67.87
2001-02-01,1.83,68.46
2001-03-01,5.26,55.92
2001-04-01,5.67,60.90
2001-05-01,13.99,43.61
2001-06-01,29.79,60.49
2001-07-01,33.93,46.94
2001-08-01,23.55,57.08
2001-09-01,10.41,52.52
2001-10-01,3.43,59.37
2001-11-01,3.80,66.85
2001-12-01,0.77,62.39
2002-01-01,0.30,59.78
2002-02-01,0.41,52.24
2002-03-01,2.22,64.26
2002-04-01,6.99,61.27
2002-05-01,18.00,46.37
2002-06-01,38.61,52.63
2002-07-01,32.52,42.45
2002-08-01,20.14,41.92
2002-09-01,9.04,47.07
2002-10-01,8.34,52.24
2002-11-01,3.16,49.41
2002-12-01,1.22,53.34
2003-01-01,1.12,54.74
2003-02-01,1.81,51.54
2003-03-01,1.41,47.44
2003-04-01,3.51,38.48
2003-05-01,12.38,39.90
2003-06-01,40.02,38.05
2003-07-01,36.35,51.95
2003-08-01,26.38,47.21
2003-09-01,11.70,51.52
2003-10-01,8.70,47.70
2003-11-01,3.79,47.42
2003-12-01,3.33,59.84
2004-01-01,1.84,54.52
2004-02-01,0.20,37.33
2004-03-01,2.42,46.18
2004-04-01,9.20,45.95
2004-05-01,10.82,25.58
2004-06-01,36.49,51.09
2004-07-01,42.98,41.76
2004-08-01,26.53,41.26
2004-09-01,16.86,55.26
2004-10-01,5.03,44.66
2004-11-01,2.15,47.55
2004-12-01,1.39,48.55
2005-01-01,1.80,53.82
2005-02-01,0.51,34.65
2005-03-01,5.16,49.60
2005-04-01,4.76,47.13
2005-05-01,34.63,44.93
2005-06-01,50.44,39.58
2005-07-01,35.88,43.39
2005-08-01,28.82,45.48
2005-09-01,14.68,50.00
2005-10-01,4.53,45.48
2005-11-01,2.53,46.70
2005-12-01,1.16,44.72
2006-01-01,1.17,46.00
2006-02-01,0.99,39.14
2006-03-01,6.12,51.96
2006-04-01,9.33,46.93
2006-05-01,15.28,41.59
2006-06-01,40.63,41.14
2006-07-01,42.77,38.13
2006-08-01,28.66,45.41
2006-09-01,11.92,52.77
2006-10-01,5.56,52.34
2006-11-01,2.72,51.56
2006-12-01,3.78,56.61
2007-01-01,2.19,50.91
2007-02-01,1.52,45.76
2007-03-01,3.26,48.19
2007-04-01,11.30,48.07
2007-05-01,21.67,40.45
2007-06-01,39.41,46.49
2007-07-01,39.22,44.00
2007-08-01,26.04,48.03
2007-09-01,13.55,41.83
2007-10-01,9.43,53.04
2007-11-01,4.07,48.59
2007-12-01,2.69,55.88
2008-01-01,0.33,47.04
2008-02-01,1.66,54.48
2008-03-01,1.33,47.72
2008-04-01,14.52,50.87
2008-05-01,30.39,39.73
2008-06-01,39.11,42.84
2008-07-01,35.58,39.75
2008-08-01,33.60,48.93
2008-09-01,17.53,45.39
2008-10-01,8.10,56.40
2008-11-01,3.51,53.22
2008-12-01,0.44,41.16
2009-01-01,1.52,47.30
2009-02-01,2.33,55.06
2009-03-01,7.02,49.37
2009-04-01,8.01,49.36
2009-05-01,32.17,50.53
2009-06-01,36.64,40.44
2009-07-01,33.97,44.37
2009-08-01,24.84,50.96
