Year,Month,SCA,CCA
2000,1,0,
2000,2,4.13,65.48
2000,3,11.27,70.37
2000,4,15.73,64.48
2000,5,18.58,51.83
2000,6,51.08,59.25
2000,7,45.28,52.02
2000,8,35.08,47.45
2000,9,31.39,46.54
2000,10,18.31,67.37
2000,11,13.62,69.56
2000,12,4.35,74.87
2001,1,3.90,75.78
2001,2,4.34,75.04
2001,3,11.27,53.17
2001,4,16.67,65.14
2001,5,27.13,45.86
2001,6,52.78,62.18
2001,7,41.79,43.07
2001,8,36.81,56.80
2001,9,26.18,45.55
2001,10,18.00,58.42
2001,11,4.98,74.85
2001,12,9.73,65.58
2002,1,9.42,63.88
2002,2,9.63,53.92
2002,3,12.68,70.51
2002,4,19.03,64.42
2002,5,22.30,48.79
2002,6,46.51,42.25
2002,7,45.64,41.32
2002,8,35.01,40.36
2002,9,22.57,55.81
2002,10,24.42,59.87
2002,11,15.81,49.44
2002,12,10.51,53.72
2003,1,9.67,57.90
2003,2,11.90,58.79
2003,3,12.21,53.88
2003,4,14.01,34.45
2003,5,22.19,40.06
2003,6,47.18,38.31
2003,7,49.20,52.78
2003,8,36.65,42.15
2003,9,22.94,55.82
2003,10,21.92,58.71
2003,11,17.08,53.13
2003,12,9.51,68.74
2004,1,11.79,58.80
2004,2,9.10,33.02
2004,3,10.94,54.03
2004,4,20.14,51.61
2004,5,19.49,28.12
2004,6,50.15,55.27
2004,7,53.59,36.66
2004,8,34.07,36.60
2004,9,34.09,55.31
2004,10,15.42,47.69
2004,11,12.65,54.71
2004,12,10.26,52.83
2005,1,9.53,60.00
2005,2,8.44,38.39
2005,3,12.68,53.24
2005,4,15.15,49.21
2005,5,44.50,44.07
2005,6,60.39,39.84
2005,7,48.69,40.84
2005,8,44.23,42.08
2005,9,31.31,50.83
2005,10,19.93,48.83
2005,11,15.22,52.34
2005,12,10.47,43.11
2006,1,9.80,51.96
2006,2,9.15,42.35
2006,3,13.34,55.48
2006,4,16.17,50.11
2006,5,27.88,41.11
2006,6,43.93,43.64
2006,7,52.93,36.78
2006,8,41.36,45.26
2006,9,29.30,56.74
2006,10,20.91,56.30
2006,11,13.30,58.37
2006,12,11.09,65.34
2007,1,10.09,54.62
2007,2,9.92,50.44
2007,3,14.33,55.74
2007,4,22.55,51.28
2007,5,33.16,41.32
2007,6,56.79,42.89
2007,7,49.48,34.87
2007,8,41.88,45.44
2007,9,31.14,43.38
2007,10,26.94,55.95
2007,11,15.28,52.51
2007,12,13.21,63.10
2008,1,8.83,46.53
2008,2,9.90,55.52
2008,3,10.13,47.52
2008,4,22.13,50.12
2008,5,37.17,34.28
2008,6,48.25,41.08
2008,7,45.46,37.70
2008,8,52.79,45.05
2008,9,32.05,46.93
2008,10,22.96,61.67
2008,11,12.80,61.48
2008,12,9.03,40.68
2009,1,10.79,49.75
2009,2,10.04,60.79
2009,3,17.62,56.04
2009,4,16.67,53.55
2009,5,43.42,52.00
2009,6,46.76,35.73
2009,7,40.12,38.54
2009,8,39.48,51.31
2009,9,32.05,53.33
2009,10,27.47,54.32
2009,11,21.84,59.92
2009,12,15.87,52.98
2010,1,11.26,64.09
2010,2,10.36,41.24
2010,3,10.99,50.38
2010,4,17.24,53.98
2010,5,35.76,45.61
2010,6,42.91,46.55
2010,7,55.47,33.71
2010,8,45.96,38.24
2010,9,33.73,63.23
2010,10,27.68,57.11
2010,11,15.10,52.15
2010,12,11.68,60.50
2011,1,10.16,51.66
2011,2,9.28,40.77
2011,3,16.61,61.37
2011,4,22.89,56.32
2011,5,37.47,54.78
2011,6,44.04,42.42
2011,7,48.63,40.08
2011,8,42.36,35.73
2011,9,32.48,60.92
2011,10,21.85,53.92
2011,11,13.83,57.79
2011,12,9.76,40.20
2012,1,9.07,40.10
2012,2,10.13,41.54
2012,3,10.21,52.84
2012,4,14.39,47.17
2012,5,44.81,53.71
2012,6,50.84,37.10
2012,7,56.21,48.03
2012,8,45.21,47.57
2012,9,30.72,53.32
2012,10,26.74,58.85
2012,11,14.88,55.05
2012,12,13.14,58.99
2013,1,8.68,36.37
2013,2,9.52,36.51
2013,3,10.51,28.48
2013,4,17.35,46.08
2013,5,33.31,55.46
2013,6,50.44,52.31
2013,7,44.90,33.94
2013,8,41.49,45.93
2013,9,28.28,29.11
