Year,SCA,CCA
2000-02-01,0.49,49.62
2000-03-01,0.09,39.10
2000-04-01,0.23,43.25
2000-05-01,2.15,27.15
2000-06-01,8.35,42.96
2000-07-01,6.28,37.15
2000-08-01,1.69,30.06
2000-09-01,0.99,46.64
2000-10-01,0.14,37.04
2000-11-01,0.10,41.56
2000-12-01,0.06,44.12
2001-01-01,0.18,46.27
2001-02-01,0.03,49.81
2001-03-01,0.03,21.35
2001-04-01,0.41,30.70
2001-05-01,2.34,38.38
2001-06-01,5.78,50.04
2001-07-01,3.66,40.37
2001-08-01,1.48,42.09
2001-09-01,0.41,34.19
2001-10-01,0.02,33.00
2001-11-01,0.09,42.99
2001-12-01,0.00,42.30
2002-01-01,0.02,34.54
2002-02-01,0.03,16.84
2002-03-01,0.31,46.00
2002-04-01,0.72,48.42
2002-05-01,3.19,48.15
2002-06-01,10.30,30.76
2002-07-01,8.37,35.10
2002-08-01,3.01,32.05
2002-09-01,4.13,40.53
2002-10-01,2.25,39.85
2002-11-01,0.52,27.09
2002-12-01,0.22,21.34
2003-01-01,0.17,25.93
2003-02-01,0.19,25.75
2003-03-01,0.14,24.94
2003-04-01,1.06,26.41
2003-05-01,4.04,25.35
2003-06-01,11.31,25.77
2003-07-01,7.95,27.41
2003-08-01,3.79,26.76
2003-09-01,2.12,35.62
2003-10-01,1.21,34.65
2003-11-01,0.50,28.96
2003-12-01,0.60,38.77
2004-01-01,0.06,21.78
2004-02-01,0.09,8.00
2004-03-01,0.40,28.09
2004-04-01,2.05,23.53
2004-05-01,3.09,22.22
2004-06-01,13.22,36.34
2004-07-01,9.59,28.74
2004-08-01,3.07,22.75
2004-09-01,4.94,38.51
2004-10-01,0.70,28.97
2004-11-01,0.42,29.69
2004-12-01,0.25,32.93
2005-01-01,0.26,26.60
2005-02-01,0.05,9.25
2005-03-01,0.86,28.84
2005-04-01,1.37,28.70
2005-05-01,11.11,31.16
2005-06-01,20.04,32.28
2005-07-01,12.32,23.93
2005-08-01,7.35,24.23
2005-09-01,2.34,31.73
2005-10-01,1.25,29.36
2005-11-01,0.69,25.76
2005-12-01,0.13,13.05
2006-01-01,0.24,27.15
2006-02-01,0.08,17.82
2006-03-01,0.82,30.60
2006-04-01,1.19,25.20
2006-05-01,4.31,23.72
2006-06-01,11.06,32.89
2006-07-01,14.01,29.37
2006-08-01,5.08,28.24
2006-09-01,3.14,32.25
2006-10-01,1.31,25.55
2006-11-01,0.63,29.47
2006-12-01,0.94,40.68
2007-01-01,0.08,21.34
2007-02-01,0.36,20.69
2007-03-01,0.29,24.70
2007-04-01,2.29,25.63
2007-05-01,7.30,20.90
2007-06-01,19.37,32.29
2007-07-01,13.55,24.79
2007-08-01,5.32,22.17
2007-09-01,1.65,29.87
2007-10-01,1.11,33.55
2007-11-01,0.36,20.38
2007-12-01,0.17,31.05
2008-01-01,0.11,17.77
2008-02-01,0.07,19.35
2008-03-01,0.10,7.45
2008-04-01,1.82,20.87
2008-05-01,6.32,28.16
2008-06-01,10.97,30.05
2008-07-01,9.03,29.46
2008-08-01,8.39,28.06
2008-09-01,1.35,20.53
2008-10-01,1.64,30.27
2008-11-01,0.29,28.80
2008-12-01,0.07,18.20
2009-01-01,0.23,24.31
2009-02-01,0.22,32.58
2009-03-01,0.50,20.50
2009-04-01,1.05,27.13
2009-05-01,7.91,23.82
2009-06-01,10.57,21.53
2009-07-01,6.77,19.02
2009-08-01,6.45,34.30
2009-09-01,1.67,26.34
2009-10-01,1.42,30.39
2009-11-01,1.21,35.17
2009-12-01,0.25,26.23
2010-01-01,0.17,30.02
2010-02-01,0.14,28.88
2010-03-01,0.20,27.60
2010-04-01,1.28,26.83
2010-05-01,6.80,22.79
2010-06-01,9.49,32.97
2010-07-01,13.19,18.56
2010-08-01,6.13,25.01
2010-09-01,3.83,34.87
2010-10-01,1.03,32.42
2010-11-01,0.52,25.40
2010-12-01,0.30,29.35
2011-01-01,0.16,21.68
2011-02-01,0.09,19.50
2011-03-01,0.71,28.25
2011-04-01,2.23,29.90
2011-05-01,7.01,29.40
2011-06-01,11.98,28.75
2011-07-01,11.58,31.02
2011-08-01,6.69,25.98
2011-09-01,2.48,35.80
2011-10-01,0.52,20.85
2011-11-01,0.32,26.26
2011-12-01,0.14,14.26
2012-01-01,0.10,16.16
2012-02-01,0.17,34.34
2012-03-01,0.21,22.71
2012-04-01,1.44,21.04
2012-05-01,8.02,38.15
2012-06-01,12.09,21.41
2012-07-01,13.22,23.90
2012-08-01,3.95,29.66
2012-09-01,1.70,24.52
2012-10-01,0.57,32.01
2012-11-01,0.27,18.99
2012-12-01,0.50,39.20
2013-01-01,0.04,10.30
2013-02-01,0.15,18.80
2013-03-01,0.24,16.88
2013-04-01,1.25,27.70
2013-05-01,5.63,22.00
2013-06-01,11.98,38.50
2013-07-01,8.82,22.39
2013-08-01,6.54,31.19
2013-09-01,1.32,18.51
2013-10-01,0.74,22.40
2013-11-01,0.41,31.81
2013-12-01,0.10,22.52
2014-01-01,0.23,22.06
2014-02-01,0.08,18.82
2014-03-01,0.52,20.27
2014-04-01,1.97,25.56
2014-05-01,4.93,24.99
2014-06-01,13.45,27.02
2014-07-01,11.38,28.36
2014-08-01,4.30,33.41
2014-09-01,2.36,31.28
2014-10-01,1.00,33.44
2014-11-01,0.59,38.27
2014-12-01,0.24,27.40
2015-01-01,0.10,23.79
2015-02-01,0.06,13.15
2015-03-01,0.26,21.07
2015-04-01,1.00,22.98
2015-05-01,8.11,31.62
2015-06-01,14.95,28.82
2015-07-01,17.35,30.08
2015-08-01,9.09,34.61
2015-09-01,2.71,25.17
2015-10-01,0.98,24.14
2015-11-01,0.16,27.41
2015-12-01,0.43,31.62
2016-01-01,0.06,19.14
2016-02-01,0.12,23.49
2016-03-01,0.27,13.88
2016-04-01,1.16,17.18
2016-05-01,3.07,16.43
2016-06-01,8.87,17.98
2016-07-01,8.68,24.85
2016-08-01,5.25,39.47
2016-09-01,1.04,20.69
2016-10-01,0.67,21.03
2016-11-01,0.43,24.38
2016-12-01,0.41,34.98
2017-01-01,0.27,32.41
2017-02-01,0.19,28.13
2017-03-01,0.20,15.26
2017-04-01,0.56,21.37
2017-05-01,7.62,29.41
2017-06-01,14.91,25.78
2017-07-01,15.05,34.60
2017-08-01,8.12,36.70
2017-09-01,2.84,34.06
2017-10-01,1.29,33.64
2017-11-01,0.29,18.86
2017-12-01,0.22,29.39
2018-01-01,0.11,24.82
2018-02-01,0.16,21.86
2018-03-01,0.91,30.15
2018-04-01,4.37,28.84
2018-05-01,5.31,30.72
2018-06-01,11.46,20.55
2018-07-01,10.25,20.45
2018-08-01,4.37,29.89
2018-09-01,2.27,37.97
2018-10-01,0.80,19.71
2018-11-01,0.39,26.45
2018-12-01,0.25,20.46
2019-01-01,0.25,19.68
2019-02-01,0.10,9.10
2019-03-01,0.20,19.33
2019-04-01,2.31,31.86
2019-05-01,7.01,28.89
2019-06-01,12.71,21.43
2019-07-01,14.32,29.32
2019-08-01,4.84,27.15
2019-09-01,2.32,21.10
2019-10-01,0.67,25.39
2019-11-01,0.50,24.56
2019-12-01,0.29,26.56
2020-01-01,0.29,20.48
2020-02-01,0.31,16.08
2020-03-01,0.48,26.70
2020-04-01,1.58,26.50
2020-05-01,9.56,25.46
2020-06-01,14.10,25.51
2020-07-01,10.79,24.10
2020-08-01,5.05,28.49
2020-09-01,1.89,23.60
2020-10-01,0.60,21.44
2020-11-01,0.28,22.34
2020-12-01,0.19,25.22
2021-01-01,0.13,23.52
2021-02-01,0.08,6.46
2021-03-01,0.29,14.48
2021-04-01,1.52,37.14
2021-05-01,3.54,23.50
2021-06-01,13.59,25.40
2021-07-01,11.99,33.66
2021-08-01,4.83,28.38
2021-09-01,2.25,27.84
2021-10-01,0.52,31.19
2021-11-01,0.28,25.04
2021-12-01,0.08,12.75
2022-01-01,0.15,16.71
2022-02-01,0.09,12.50
2022-03-01,0.83,33.70
2022-04-01,3.35,36.04
2022-05-01,8.58,22.83
2022-06-01,14.29,24.26
2022-07-01,17.71,23.83
2022-08-01,9.62,27.22
2022-09-01,1.40,27.31
2022-10-01,1.15,28.83
2022-11-01,0.16,26.14
2022-12-01,0.35,32.30
2023-01-01,0.08,23.59
2023-02-01,0.22,23.59
2023-03-01,0.47,21.55
2023-04-01,1.19,30.10
2023-05-01,10.76,32.07
2023-06-01,18.79,24.90
2023-07-01,16.76,27.15
2023-08-01,10.05,35.08
2023-09-01,4.45,23.58
2023-10-01,0.85,20.04
2023-11-01,0.56,33.02
2023-12-01,0.21,16.29
2024-01-01,0.08,20.78
2024-02-01,0.11,18.75
2024-03-01,1.44,34.49
2024-04-01,3.74,25.91
2024-05-01,13.11,17.37
2024-06-01,18.15,36.25
2024-07-01,17.62,26.48
2024-08-01,7.60,26.96
2024-09-01,4.25,38.38
2024-10-01,0.55,16.34
2024-11-01,1.37,33.67
2024-12-01,0.15,10.82
2025-01-01,0.15,25.04
2025-02-01,0.32,20.81
2025-03-01,0.54,17.67
2025-04-01,3.22,24.25
