Year,Month,SCA,CCA
2000,1,0,
2000,2,0.49,49.62
2000,3,0.09,39.10
2000,4,0.23,43.25
2000,5,2.15,27.15
2000,6,8.35,42.96
2000,7,6.28,37.15
2000,8,1.69,30.06
2000,9,0.99,46.64
2000,10,0.14,37.04
2000,11,0.10,41.56
2000,12,0.06,44.12
2001,1,0.18,46.27
2001,2,0.03,49.81
2001,3,0.03,21.35
2001,4,0.41,30.70
2001,5,2.34,38.38
2001,6,5.78,50.04
2001,7,3.66,40.37
2001,8,1.48,42.09
2001,9,0.41,34.19
2001,10,0.02,33.00
2001,11,0.09,42.99
2001,12,0.00,42.30
2002,1,0.02,34.54
2002,2,0.03,16.84
2002,3,0.31,46.00
2002,4,0.72,48.42
2002,5,3.19,48.15
2002,6,10.30,30.76
2002,7,8.37,35.10
2002,8,3.01,32.05
2002,9,4.13,40.53
2002,10,2.25,39.85
2002,11,0.52,27.09
2002,12,0.22,21.34
2003,1,0.17,25.93
2003,2,0.19,25.75
2003,3,0.14,24.94
2003,4,1.06,26.41
2003,5,4.04,25.35
2003,6,11.31,25.77
2003,7,7.95,27.41
2003,8,3.79,26.76
2003,9,2.12,35.62
2003,10,1.21,34.65
2003,11,0.50,28.96
2003,12,0.60,38.77
2004,1,0.06,21.78
2004,2,0.09,8.00
2004,3,0.40,28.09
2004,4,2.05,23.53
2004,5,3.09,22.22
2004,6,13.22,36.34
2004,7,9.59,28.74
2004,8,3.07,22.75
2004,9,4.94,38.51
2004,10,0.70,28.97
2004,11,0.42,29.69
2004,12,0.25,32.93
2005,1,0.26,26.60
2005,2,0.05,9.25
2005,3,0.86,28.84
2005,4,1.37,28.70
2005,5,11.11,31.16
2005,6,20.04,32.28
2005,7,12.32,23.93
2005,8,7.35,24.23
2005,9,2.34,31.73
2005,10,1.25,29.36
2005,11,0.69,25.76
2005,12,0.13,13.05
2006,1,0.24,27.15
2006,2,0.08,17.82
2006,3,0.82,30.60
2006,4,1.19,25.20
2006,5,4.31,23.72
2006,6,11.06,32.89
2006,7,14.01,29.37
2006,8,5.08,28.24
2006,9,3.14,32.25
2006,10,1.31,25.55
2006,11,0.63,29.47
2006,12,0.94,40.68
2007,1,0.08,21.34
2007,2,0.36,20.69
2007,3,0.29,24.70
2007,4,2.29,25.63
2007,5,7.30,20.90
2007,6,19.37,32.29
2007,7,13.55,24.79
2007,8,5.32,22.17
2007,9,1.65,29.87
2007,10,1.11,33.55
2007,11,0.36,20.38
2007,12,0.17,31.05
2008,1,0.11,17.77
2008,2,0.07,19.35
2008,3,0.10,7.45
2008,4,1.82,20.87
2008,5,6.32,28.16
2008,6,10.97,30.05
2008,7,9.03,29.46
2008,8,8.39,28.06
2008,9,1.35,20.53
2008,10,1.64,30.27
2008,11,0.29,28.80
2008,12,0.07,18.20
2009,1,0.23,24.31
2009,2,0.22,32.58
2009,3,0.50,20.50
2009,4,1.05,27.13
2009,5,7.91,23.82
2009,6,10.57,21.53
2009,7,6.77,19.02
2009,8,6.45,34.30
2009,9,1.67,26.34
2009,10,1.42,30.39
2009,11,1.21,35.17
2009,12,0.25,26.23
2010,1,0.17,30.02
2010,2,0.14,28.88
2010,3,0.20,27.60
2010,4,1.28,26.83
2010,5,6.80,22.79
2010,6,9.49,32.97
2010,7,13.19,18.56
2010,8,6.13,25.01
2010,9,3.83,34.87
2010,10,1.03,32.42
2010,11,0.52,25.40
2010,12,0.30,29.35
2011,1,0.16,21.68
2011,2,0.09,19.50
2011,3,0.71,28.25
2011,4,2.23,29.90
2011,5,7.01,29.40
2011,6,11.98,28.75
2011,7,11.58,31.02
2011,8,6.69,25.98
2011,9,2.48,35.80
2011,10,0.52,20.85
2011,11,0.32,26.26
2011,12,0.14,14.26
2012,1,0.10,16.16
2012,2,0.17,34.34
2012,3,0.21,22.71
2012,4,1.44,21.04
2012,5,8.02,38.15
2012,6,12.09,21.41
2012,7,13.22,23.90
2012,8,3.95,29.66
2012,9,1.70,24.52
2012,10,0.57,32.01
2012,11,0.27,18.99
2012,12,0.50,39.20
2013,1,0.04,10.30
2013,2,0.15,18.80
2013,3,0.24,16.88
2013,4,1.25,27.70
2013,5,5.63,22.00
2013,6,11.98,38.50
2013,7,8.82,22.39
2013,8,6.54,31.19
2013,9,1.32,18.51
2013,10,0.74,22.40
2013,11,0.41,31.81
2013,12,0.10,22.52
2014,1,0.23,22.06
2014,2,0.08,18.82
2014,3,0.52,20.27
