Year,Month,SCA,CCA
2000,1,0,
2000,2,21.83,73.00
2000,3,33.17,81.12
2000,4,36.62,73.07
2000,5,43.55,56.09
2000,6,70.42,61.70
2000,7,69.03,65.30
2000,8,62.51,62.26
2000,9,59.09,53.34
2000,10,46.27,74.97
2000,11,36.33,81.23
2000,12,6.87,85.90
2001,1,5.26,85.61
2001,2,12.90,85.74
2001,3,42.21,69.89
2001,4,40.16,74.85
2001,5,49.48,52.91
2001,6,63.03,69.29
2001,7,71.84,49.39
2001,8,63.58,64.75
2001,9,54.08,56.55
2001,10,45.23,68.34
2001,11,10.57,85.91
2001,12,35.53,74.62
2002,1,33.51,73.09
2002,2,33.40,62.89
2002,3,31.48,79.54
2002,4,41.57,73.28
2002,5,58.94,51.03
2002,6,73.63,50.99
2002,7,70.70,46.25
2002,8,58.25,44.63
2002,9,46.96,61.51
2002,10,47.72,70.69
2002,11,39.22,70.85
2002,12,34.81,70.00
2003,1,29.76,76.18
2003,2,35.48,72.43
2003,3,36.44,63.62
2003,4,37.00,44.24
2003,5,46.22,51.25
2003,6,72.69,46.96
2003,7,67.75,63.76
2003,8,64.68,49.05
2003,9,50.26,70.31
2003,10,49.64,66.41
2003,11,43.86,69.72
2003,12,34.56,80.48
2004,1,31.51,75.79
2004,2,32.97,46.20
2004,3,34.74,61.03
2004,4,42.04,59.42
2004,5,44.31,26.65
2004,6,65.68,63.48
2004,7,75.58,44.37
2004,8,64.26,48.08
2004,9,54.52,71.18
2004,10,43.62,61.14
2004,11,39.52,64.27
2004,12,34.14,68.80
2005,1,31.22,74.77
2005,2,32.59,47.55
2005,3,37.08,70.39
2005,4,42.25,60.51
2005,5,66.56,50.07
2005,6,78.87,45.83
2005,7,71.56,46.32
2005,8,67.11,56.30
2005,9,54.05,65.34
2005,10,43.59,59.06
2005,11,39.40,66.72
2005,12,34.77,64.32
2006,1,34.10,65.77
2006,2,33.53,55.20
2006,3,38.22,69.86
2006,4,44.56,61.46
