Year,SCA,CCA
2000-02-01,5.40,74.94
2000-03-01,13.61,69.95
2000-04-01,17.50,70.41
2000-05-01,30.69,68.29
2000-06-01,52.30,67.71
2000-07-01,60.76,70.19
2000-08-01,35.34,66.19
2000-09-01,32.29,61.98
2000-10-01,19.36,68.00
2000-11-01,10.82,72.22
2000-12-01,5.66,71.86
2001-01-01,6.07,72.87
2001-02-01,8.40,69.21
2001-03-01,21.22,58.88
2001-04-01,20.54,57.11
2001-05-01,32.24,58.82
2001-06-01,45.60,72.86
2001-07-01,59.10,64.91
2001-08-01,45.05,66.21
2001-09-01,27.45,56.68
2001-10-01,19.35,53.73
2001-11-01,7.33,69.21
2001-12-01,12.65,57.14
2002-01-01,12.41,60.27
2002-02-01,13.04,53.00
2002-03-01,13.34,69.29
2002-04-01,20.58,64.14
2002-05-01,53.41,63.95
2002-06-01,65.15,63.11
2002-07-01,53.45,43.74
2002-08-01,40.38,52.94
2002-09-01,29.46,56.09
2002-10-01,22.80,58.22
2002-11-01,14.38,61.40
2002-12-01,11.28,55.46
2003-01-01,11.19,57.29
2003-02-01,14.68,49.41
2003-03-01,17.84,50.93
2003-04-01,23.30,40.51
2003-05-01,31.51,53.07
2003-06-01,62.38,44.49
2003-07-01,52.00,49.97
2003-08-01,41.88,45.17
2003-09-01,28.66,46.25
2003-10-01,23.94,55.19
2003-11-01,18.45,49.79
2003-12-01,13.03,65.66
2004-01-01,12.58,51.11
2004-02-01,13.53,48.63
2004-03-01,16.43,42.10
2004-04-01,24.01,48.99
2004-05-01,33.42,34.37
2004-06-01,50.91,59.33
2004-07-01,56.75,40.95
2004-08-01,42.95,48.89
2004-09-01,30.16,52.56
2004-10-01,20.22,47.49
2004-11-01,16.01,47.08
2004-12-01,13.55,52.00
2005-01-01,11.40,47.01
2005-02-01,13.90,31.33
2005-03-01,16.99,51.67
2005-04-01,24.89,51.00
2005-05-01,47.72,47.99
2005-06-01,74.15,53.69
2005-07-01,64.64,48.58
2005-08-01,49.82,50.76
2005-09-01,33.10,52.56
2005-10-01,23.71,48.55
2005-11-01,16.44,49.97
2005-12-01,13.18,54.46
2006-01-01,13.17,48.90
2006-02-01,14.25,39.75
2006-03-01,18.88,57.51
2006-04-01,28.73,48.09
2006-05-01,33.46,40.41
2006-06-01,54.14,43.05
2006-07-01,58.81,46.53
2006-08-01,44.68,42.95
2006-09-01,34.59,54.32
2006-10-01,23.19,57.31
2006-11-01,16.24,54.88
2006-12-01,12.10,58.78
2007-01-01,12.56,51.64
2007-02-01,15.10,48.01
2007-03-01,18.55,49.80
2007-04-01,30.28,53.83
2007-05-01,44.17,45.66
2007-06-01,50.70,52.82
2007-07-01,59.16,45.24
2007-08-01,48.03,49.54
2007-09-01,30.83,45.91
2007-10-01,22.66,56.75
2007-11-01,17.10,54.03
2007-12-01,10.22,58.29
2008-01-01,12.66,40.93
2008-02-01,11.76,47.45
2008-03-01,15.26,43.85
2008-04-01,34.79,61.29
2008-05-01,49.43,46.80
2008-06-01,58.46,41.03
2008-07-01,62.88,42.20
2008-08-01,58.56,47.55
2008-09-01,36.82,46.25
2008-10-01,24.96,57.21
2008-11-01,16.30,55.60
2008-12-01,13.12,51.15
2009-01-01,13.60,53.41
2009-02-01,10.93,50.99
2009-03-01,18.61,46.62
2009-04-01,22.51,52.78
2009-05-01,49.24,55.84
2009-06-01,57.03,41.74
2009-07-01,55.83,40.68
2009-08-01,46.00,48.75
2009-09-01,34.58,53.13
2009-10-01,26.62,55.87
2009-11-01,18.26,62.96
2009-12-01,12.70,56.45
2010-01-01,12.95,57.25
2010-02-01,16.40,46.88
2010-03-01,17.29,42.81
2010-04-01,25.47,50.54
2010-05-01,40.66,48.43
2010-06-01,52.41,52.92
2010-07-01,57.96,40.68
2010-08-01,47.71,53.64
2010-09-01,33.25,54.07
2010-10-01,23.23,57.99
2010-11-01,16.08,51.38
2010-12-01,11.35,56.99
2011-01-01,13.15,48.58
2011-02-01,14.43,42.67
2011-03-01,17.51,48.95
2011-04-01,30.66,49.99
2011-05-01,44.69,47.40
2011-06-01,55.64,45.43
2011-07-01,66.58,60.24
2011-08-01,59.54,43.01
2011-09-01,38.36,57.22
2011-10-01,25.43,52.66
2011-11-01,16.89,57.70
2011-12-01,13.14,40.68
2012-01-01,12.01,45.95
2012-02-01,14.05,36.75
2012-03-01,15.95,44.91
2012-04-01,29.85,44.95
2012-05-01,49.97,49.85
2012-06-01,65.87,48.45
2012-07-01,68.58,48.94
2012-08-01,50.01,47.30
2012-09-01,33.24,55.77
2012-10-01,27.89,53.38
2012-11-01,18.35,52.79
2012-12-01,14.21,55.43
2013-01-01,12.86,45.33
2013-02-01,14.11,36.77
2013-03-01,15.89,34.98
2013-04-01,22.89,45.89
2013-05-01,45.67,53.73
2013-06-01,61.21,50.69
2013-07-01,52.31,34.29
2013-08-01,49.45,55.98
2013-09-01,40.93,43.83
2013-10-01,21.72,55.22
2013-11-01,20.51,50.61
2013-12-01,13.77,59.49
2014-01-01,11.24,56.04
2014-02-01,14.44,52.77
2014-03-01,18.76,49.70
2014-04-01,23.31,41.66
2014-05-01,42.73,41.75
2014-06-01,54.08,45.51
2014-07-01,56.58,48.65
2014-08-01,46.50,59.08
2014-09-01,30.21,47.61
2014-10-01,24.28,54.67
2014-11-01,18.86,57.56
2014-12-01,13.58,56.47
2015-01-01,12.85,40.92
2015-02-01,14.20,40.28
2015-03-01,17.69,52.57
2015-04-01,23.72,45.65
2015-05-01,38.71,50.44
2015-06-01,56.98,55.57
2015-07-01,62.51,60.77
2015-08-01,54.18,45.77
2015-09-01,36.35,48.90
2015-10-01,24.36,49.42
2015-11-01,15.40,53.33
2015-12-01,14.45,51.11
2016-01-01,12.54,35.75
2016-02-01,13.80,47.35
2016-03-01,16.54,41.32
2016-04-01,24.62,33.33
2016-05-01,26.37,20.09
2016-06-01,38.49,39.62
2016-07-01,37.43,32.54
2016-08-01,37.56,42.43
2016-09-01,24.26,40.12
2016-10-01,19.58,45.21
2016-11-01,12.70,48.50
2016-12-01,12.34,52.91
2017-01-01,8.48,58.85
2017-02-01,13.47,46.09
2017-03-01,14.97,42.55
2017-04-01,19.89,47.79
2017-05-01,37.41,48.93
2017-06-01,60.12,47.09
2017-07-01,51.95,45.22
2017-08-01,44.12,57.76
2017-09-01,34.69,58.47
2017-10-01,24.65,56.97
2017-11-01,17.12,44.30
2017-12-01,13.31,51.70
2018-01-01,9.88,52.10
2018-02-01,12.46,46.07
2018-03-01,22.11,49.53
2018-04-01,29.34,58.64
2018-05-01,39.02,42.73
2018-06-01,59.15,39.82
2018-07-01,56.53,35.03
2018-08-01,49.26,50.93
2018-09-01,37.57,58.27
2018-10-01,24.69,38.05
2018-11-01,16.21,48.35
2018-12-01,12.41,49.65
2019-01-01,13.44,54.32
2019-02-01,14.14,51.61
2019-03-01,16.18,49.52
2019-04-01,23.26,49.08
2019-05-01,40.34,41.17
2019-06-01,53.44,50.18
2019-07-01,52.34,47.54
2019-08-01,45.33,41.05
2019-09-01,35.91,42.94
2019-10-01,23.19,47.97
2019-11-01,17.65,59.29
2019-12-01,13.22,49.76
2020-01-01,10.64,57.07
2020-02-01,12.92,40.67
2020-03-01,15.44,53.78
2020-04-01,21.76,37.83
2020-05-01,34.97,47.40
2020-06-01,66.10,42.22
2020-07-01,74.52,36.90
2020-08-01,55.12,56.25
2020-09-01,35.87,55.46
2020-10-01,25.25,56.58
2020-11-01,13.58,56.18
2020-12-01,13.12,52.70
2021-01-01,13.17,50.54
2021-02-01,13.03,36.49
2021-03-01,15.82,30.06
2021-04-01,20.30,37.67
2021-05-01,37.08,49.83
2021-06-01,54.39,45.72
2021-07-01,55.74,53.07
2021-08-01,39.59,51.44
2021-09-01,28.89,47.91
2021-10-01,20.50,49.15
2021-11-01,13.74,44.04
2021-12-01,12.33,36.50
2022-01-01,12.23,42.84
2022-02-01,13.04,42.27
2022-03-01,17.03,56.47
2022-04-01,26.51,56.84
2022-05-01,37.05,44.74
2022-06-01,50.75,32.49
2022-07-01,66.58,48.24
2022-08-01,47.34,47.74
2022-09-01,32.25,43.39
2022-10-01,23.01,57.64
2022-11-01,14.62,42.75
2022-12-01,13.57,45.66
2023-01-01,13.31,37.09
2023-02-01,11.85,54.26
2023-03-01,23.85,49.56
2023-04-01,27.06,45.51
2023-05-01,42.99,51.04
2023-06-01,53.82,48.60
2023-07-01,63.70,39.30
2023-08-01,50.97,51.47
2023-09-01,45.94,50.64
2023-10-01,28.27,52.96
2023-11-01,21.02,54.91
2023-12-01,17.15,46.17
2024-01-01,11.40,51.90
2024-02-01,14.61,46.54
2024-03-01,23.19,60.16
2024-04-01,36.08,46.28
2024-05-01,56.70,32.95
2024-06-01,76.14,48.82
2024-07-01,65.49,52.41
2024-08-01,48.67,47.72
2024-09-01,41.37,57.04
2024-10-01,24.82,56.06
2024-11-01,18.28,49.76
2024-12-01,14.56,43.02
2025-01-01,11.42,53.06
2025-02-01,17.80,48.53
2025-03-01,18.10,46.18
2025-04-01,26.55,39.63
2025-05-01,53.26,44.07
