Year,SCA,CCA
2000-02-01,0.97,81.29
2000-03-01,3.90,61.90
2000-04-01,3.46,59.16
2000-05-01,15.86,63.64
2000-06-01,31.53,79.14
2000-07-01,35.87,68.15
2000-08-01,24.79,73.78
2000-09-01,16.71,83.75
2000-10-01,8.18,67.04
2000-11-01,7.10,70.49
2000-12-01,4.63,70.42
2001-01-01,4.42,64.18
2001-02-01,3.85,57.25
2001-03-01,3.92,47.63
2001-04-01,5.56,40.50
2001-05-01,16.77,61.79
2001-06-01,29.60,86.48
2001-07-01,38.13,76.95
2001-08-01,29.71,78.78
2001-09-01,20.32,58.49
2001-10-01,10.41,60.14
2001-11-01,6.58,68.23
2001-12-01,4.91,31.93
2002-01-01,3.93,46.48
2002-02-01,3.00,33.76
2002-03-01,4.13,78.79
2002-04-01,14.86,84.10
2002-05-01,15.71,85.47
2002-06-01,46.02,67.87
2002-07-01,40.10,70.00
2002-08-01,27.10,79.07
2002-09-01,8.94,85.82
2002-10-01,14.28,78.85
2002-11-01,6.45,71.85
2002-12-01,5.94,39.12
2003-01-01,5.63,64.51
2003-02-01,5.28,38.85
2003-03-01,4.46,31.64
2003-04-01,9.09,24.06
2003-05-01,11.92,42.40
2003-06-01,40.45,73.41
2003-07-01,37.74,66.04
2003-08-01,31.82,64.57
2003-09-01,17.70,80.64
2003-10-01,14.53,73.65
2003-11-01,5.22,71.65
2003-12-01,4.74,77.45
2004-01-01,5.37,37.06
2004-02-01,4.50,17.31
2004-03-01,3.91,48.17
2004-04-01,13.08,66.20
2004-05-01,9.95,29.79
2004-06-01,33.18,74.21
2004-07-01,37.92,66.24
2004-08-01,25.30,51.04
2004-09-01,28.11,77.78
2004-10-01,9.37,82.05
2004-11-01,6.95,48.60
2004-12-01,6.17,67.95
2005-01-01,4.42,42.79
2005-02-01,4.07,12.57
2005-03-01,4.17,57.80
2005-04-01,8.44,49.76
2005-05-01,35.75,84.26
2005-06-01,52.18,81.27
2005-07-01,42.43,57.11
2005-08-01,44.16,70.07
2005-09-01,31.08,51.57
2005-10-01,20.18,71.19
2005-11-01,7.78,63.22
2005-12-01,5.63,39.11
2006-01-01,5.88,34.92
2006-02-01,4.82,27.95
2006-03-01,5.10,50.73
2006-04-01,6.34,53.16
2006-05-01,14.76,40.70
2006-06-01,40.76,73.78
2006-07-01,50.63,71.47
2006-08-01,39.78,52.97
2006-09-01,30.53,72.39
2006-10-01,22.84,62.97
2006-11-01,11.42,52.32
2006-12-01,2.86,79.12
2007-01-01,5.70,28.12
2007-02-01,5.42,44.06
2007-03-01,4.26,44.40
2007-04-01,10.80,54.92
2007-05-01,25.54,53.73
2007-06-01,48.58,73.75
2007-07-01,53.27,66.06
2007-08-01,47.14,47.14
2007-09-01,32.89,57.36
2007-10-01,28.77,71.84
2007-11-01,6.85,60.11
2007-12-01,6.08,47.94
2008-01-01,5.99,33.31
2008-02-01,4.79,6.83
2008-03-01,3.68,9.16
2008-04-01,12.22,51.14
2008-05-01,14.16,57.14
2008-06-01,37.34,73.86
2008-07-01,44.89,71.01
2008-08-01,43.57,71.30
2008-09-01,28.56,37.26
2008-10-01,16.22,57.06
2008-11-01,6.65,45.25
2008-12-01,5.13,32.23
2009-01-01,3.86,20.24
2009-02-01,3.16,48.53
2009-03-01,2.85,25.29
2009-04-01,4.31,42.56
2009-05-01,27.49,63.60
2009-06-01,29.30,47.89
2009-07-01,45.58,58.75
2009-08-01,33.57,84.89
2009-09-01,24.79,57.66
2009-10-01,17.56,69.21
2009-11-01,7.04,84.37
2009-12-01,4.86,55.62
2010-01-01,6.57,60.00
2010-02-01,5.30,44.11
2010-03-01,4.39,30.98
2010-04-01,7.55,53.44
2010-05-01,26.09,56.44
2010-06-01,38.09,78.38
2010-07-01,48.22,64.98
2010-08-01,44.92,58.84
2010-09-01,31.53,65.00
2010-10-01,18.62,55.53
2010-11-01,8.15,52.86
2010-12-01,6.27,60.05
2011-01-01,5.32,41.07
2011-02-01,4.45,18.40
2011-03-01,5.51,50.10
2011-04-01,8.47,60.57
2011-05-01,21.19,50.49
2011-06-01,37.53,62.23
2011-07-01,52.32,67.13
2011-08-01,40.63,64.67
2011-09-01,25.36,74.34
2011-10-01,23.86,47.94
2011-11-01,9.49,55.27
2011-12-01,6.25,31.78
2012-01-01,4.89,26.18
2012-02-01,3.46,56.24
2012-03-01,3.21,25.71
2012-04-01,4.98,51.53
2012-05-01,23.03,79.70
2012-06-01,42.75,64.73
2012-07-01,52.51,70.27
2012-08-01,35.24,60.02
2012-09-01,24.45,58.62
2012-10-01,17.04,55.22
2012-11-01,6.24,44.52
2012-12-01,3.87,81.35
2013-01-01,5.02,14.12
2013-02-01,4.17,35.46
2013-03-01,2.94,28.54
2013-04-01,4.09,43.65
2013-05-01,29.10,75.57
2013-06-01,44.02,76.26
2013-07-01,39.18,51.98
2013-08-01,38.95,73.33
2013-09-01,25.54,50.83
2013-10-01,16.28,53.40
2013-11-01,6.64,50.45
2013-12-01,5.21,29.08
2014-01-01,4.94,38.80
2014-02-01,3.61,28.10
2014-03-01,4.58,46.13
2014-04-01,11.89,43.96
2014-05-01,18.34,58.54
2014-06-01,43.81,67.61
