Year,SCA,CCA
2000-02-01,21.07,70.57
2000-03-01,32.01,78.44
2000-04-01,35.34,70.69
2000-05-01,42.06,54.25
2000-06-01,68.02,59.68
2000-07-01,66.67,63.14
2000-08-01,60.38,60.20
2000-09-01,57.08,51.57
2000-10-01,44.66,72.48
2000-11-01,35.06,78.52
2000-12-01,6.63,83.04
2001-01-01,5.07,82.76
2001-02-01,12.45,82.90
2001-03-01,40.74,67.57
2001-04-01,38.77,72.36
2001-05-01,47.80,51.17
2001-06-01,60.88,67.00
2001-07-01,69.44,47.76
2001-08-01,61.41,62.61
2001-09-01,52.22,54.67
2001-10-01,43.65,66.06
2001-11-01,10.20,83.06
2001-12-01,34.28,72.14
2002-01-01,32.33,70.65
2002-02-01,32.24,60.80
2002-03-01,30.39,76.93
2002-04-01,40.12,70.84
2002-05-01,56.93,49.34
2002-06-01,71.14,49.32
2002-07-01,68.32,44.65
2002-08-01,56.27,43.08
2002-09-01,45.34,59.37
2002-10-01,46.06,68.22
2002-11-01,37.85,68.38
2002-12-01,33.59,67.56
2003-01-01,28.72,73.53
2003-02-01,34.25,69.91
2003-03-01,35.18,61.40
2003-04-01,35.74,42.70
2003-05-01,44.65,49.46
2003-06-01,70.25,45.33
2003-07-01,65.42,61.54
2003-08-01,62.47,47.34
2003-09-01,48.51,67.85
2003-10-01,47.92,64.09
2003-11-01,42.34,67.29
2003-12-01,33.35,77.71
2004-01-01,30.41,73.15
2004-02-01,31.82,44.59
2004-03-01,33.54,58.90
2004-04-01,40.60,57.35
2004-05-01,42.85,25.72
2004-06-01,63.42,61.27
2004-07-01,73.06,42.82
2004-08-01,62.08,46.40
2004-09-01,52.63,68.71
2004-10-01,42.12,59.01
2004-11-01,38.14,62.03
2004-12-01,32.94,66.40
2005-01-01,30.13,72.16
2005-02-01,31.46,45.89
2005-03-01,35.79,67.93
2005-04-01,40.80,58.40
2005-05-01,64.28,48.33
2005-06-01,76.29,44.24
2005-07-01,69.14,44.71
2005-08-01,64.82,54.34
2005-09-01,52.18,63.06
2005-10-01,42.08,57.00
2005-11-01,38.03,64.39
2005-12-01,33.55,62.07
2006-01-01,32.91,63.48
2006-02-01,32.37,53.28
2006-03-01,36.89,67.42
2006-04-01,43.02,59.31
2006-05-01,46.51,45.19
2006-06-01,69.25,42.31
2006-07-01,69.30,42.44
2006-08-01,62.10,50.08
2006-09-01,50.65,63.65
2006-10-01,42.71,68.66
2006-11-01,37.51,70.09
2006-12-01,24.99,76.88
2007-01-01,34.27,68.31
2007-02-01,33.38,64.89
2007-03-01,35.02,64.42
2007-04-01,42.65,61.86
2007-05-01,57.00,42.45
2007-06-01,66.48,50.32
2007-07-01,70.92,45.12
2007-08-01,63.27,58.96
2007-09-01,57.52,47.53
2007-10-01,48.40,69.85
2007-11-01,42.23,66.63
2007-12-01,36.03,75.21
2008-01-01,31.92,60.87
2008-02-01,30.55,71.02
2008-03-01,33.32,62.33
2008-04-01,50.34,66.94
2008-05-01,64.61,46.47
2008-06-01,69.75,42.32
2008-07-01,68.69,43.18
2008-08-01,66.15,51.47
2008-09-01,58.17,56.91
2008-10-01,44.50,74.70
2008-11-01,38.14,71.01
2008-12-01,32.65,57.08
2009-01-01,33.07,64.24
2009-02-01,33.03,72.23
2009-03-01,39.86,68.70
