Year,Month,SCA,CCA
2000,1,0,
2000,2,0.11,0.17
2000,3,0.16,1.60
2000,4,4.65,27.44
2000,5,9.22,18.61
2000,6,8.87,46.71
2000,7,45.92,14.35
2000,8,28.48,16.91
2000,9,23.76,22.87
2000,10,9.63,4.34
2000,11,3.26,17.00
2000,12,0.18,1.47
2001,1,0.22,1.32
2001,2,0.17,2.48
2001,3,2.41,5.52
2001,4,5.57,3.01
2001,5,7.41,18.64
2001,6,12.49,6.75
2001,7,13.00,43.09
2001,8,19.33,30.36
2001,9,25.26,10.95
2001,10,11.30,7.96
2001,11,3.24,3.81
2001,12,0.76,4.18
2002,1,0.25,0.84
2002,2,0.11,1.29
2002,3,0.05,0.10
2002,4,2.52,1.27
2002,5,13.27,45.82
2002,6,42.29,31.59
2002,7,47.30,13.04
2002,8,44.34,21.94
2002,9,35.42,10.74
2002,10,24.93,3.89
2002,11,13.89,0.81
2002,12,4.20,0.33
2003,1,0.70,0.14
2003,2,0.36,0.28
2003,3,0.32,0.64
2003,4,0.24,1.07
2003,5,12.01,11.57
2003,6,24.62,25.82
2003,7,33.29,14.75
2003,8,21.69,5.15
2003,9,16.68,2.37
2003,10,8.93,1.31
2003,11,2.09,0.46
2003,12,0.34,0.03
2004,1,0.40,0.42
2004,2,1.09,0.10
2004,3,0.36,0.47
2004,4,1.82,3.82
2004,5,2.73,3.78
2004,6,5.70,3.95
2004,7,11.98,18.76
2004,8,17.44,9.81
2004,9,3.71,1.11
2004,10,0.35,0.98
2004,11,4.92,4.07
2004,12,0.30,0.14
2005,1,0.18,0.02
2005,2,0.27,0.54
2005,3,1.27,1.19
2005,4,5.54,11.36
2005,5,31.91,15.01
2005,6,33.82,36.78
2005,7,28.58,9.55
2005,8,25.04,16.42
2005,9,29.47,6.13
2005,10,17.85,0.45
2005,11,9.62,0.73
2005,12,1.80,0.16
2006,1,0.53,0.08
2006,2,0.74,0.06
2006,3,0.25,0.20
2006,4,0.45,0.79
2006,5,5.17,6.41
2006,6,23.41,11.76
