Year,SCA,CCA
2000-02-01,0.25,87.81
2000-03-01,2.42,65.16
2000-04-01,3.57,63.63
2000-05-01,17.43,67.18
2000-06-01,48.17,83.65
2000-07-01,52.21,78.60
2000-08-01,34.77,83.93
2000-09-01,28.13,92.35
2000-10-01,21.37,72.19
2000-11-01,12.79,78.43
2000-12-01,4.75,82.73
2001-01-01,3.52,79.60
2001-02-01,2.37,82.15
2001-03-01,3.55,50.28
2001-04-01,5.98,48.95
2001-05-01,14.97,76.22
2001-06-01,38.47,87.05
2001-07-01,59.96,81.69
2001-08-01,47.22,85.99
2001-09-01,31.13,69.49
2001-10-01,16.70,64.47
2001-11-01,5.74,80.21
2001-12-01,4.79,51.59
2002-01-01,2.90,65.56
2002-02-01,2.17,30.70
2002-03-01,4.52,87.16
2002-04-01,11.00,91.61
2002-05-01,27.98,92.08
2002-06-01,60.68,70.52
2002-07-01,55.14,76.42
2002-08-01,45.42,78.55
2002-09-01,31.26,89.67
2002-10-01,24.26,90.05
2002-11-01,17.96,77.62
2002-12-01,7.41,49.82
2003-01-01,5.17,65.17
2003-02-01,3.26,38.80
2003-03-01,3.10,37.40
2003-04-01,8.49,29.61
2003-05-01,13.99,49.91
2003-06-01,55.58,79.12
2003-07-01,58.29,66.36
2003-08-01,48.48,67.40
2003-09-01,28.18,86.50
2003-10-01,25.69,78.72
2003-11-01,13.62,78.03
2003-12-01,6.53,86.30
2004-01-01,5.09,45.19
2004-02-01,3.23,14.11
2004-03-01,3.25,53.83
2004-04-01,20.70,71.85
2004-05-01,14.42,44.24
2004-06-01,48.04,83.09
2004-07-01,55.94,71.66
2004-08-01,40.86,57.35
2004-09-01,38.70,86.17
2004-10-01,11.48,87.96
2004-11-01,10.47,57.38
2004-12-01,5.52,72.92
2005-01-01,3.59,48.12
2005-02-01,2.72,20.10
2005-03-01,4.14,66.13
2005-04-01,9.46,57.81
2005-05-01,53.03,87.25
2005-06-01,68.73,86.87
2005-07-01,66.41,49.24
2005-08-01,67.09,71.11
2005-09-01,51.05,62.71
2005-10-01,38.71,69.68
2005-11-01,11.63,77.97
2005-12-01,7.81,46.56
2006-01-01,5.63,43.28
2006-02-01,4.06,43.37
2006-03-01,4.32,58.33
2006-04-01,8.15,49.22
2006-05-01,17.24,45.79
2006-06-01,51.76,78.08
2006-07-01,73.29,73.48
2006-08-01,65.20,62.33
2006-09-01,51.46,76.99
2006-10-01,35.02,73.30
2006-11-01,12.73,67.12
2006-12-01,5.65,88.77
2007-01-01,5.36,44.37
2007-02-01,3.96,47.11
2007-03-01,3.37,46.18
2007-04-01,12.18,65.59
2007-05-01,33.33,52.06
2007-06-01,70.40,77.60
2007-07-01,72.59,64.61
2007-08-01,64.28,54.00
2007-09-01,50.36,60.00
2007-10-01,42.39,75.51
2007-11-01,11.41,66.42
2007-12-01,7.71,61.12
2008-01-01,4.59,37.49
2008-02-01,3.07,25.24
2008-03-01,2.37,3.99
2008-04-01,15.08,57.23
2008-05-01,38.23,66.27
2008-06-01,57.63,69.06
2008-07-01,58.03,79.80
2008-08-01,65.99,79.16
2008-09-01,46.46,46.92
2008-10-01,28.22,67.39
2008-11-01,10.08,58.16
2008-12-01,4.73,35.31
2009-01-01,2.54,34.33
2009-02-01,2.27,65.08
2009-03-01,2.72,26.02
2009-04-01,4.83,62.67
2009-05-01,44.67,68.17
2009-06-01,51.63,47.48
2009-07-01,59.88,56.28
2009-08-01,55.00,83.83
2009-09-01,40.72,65.54
2009-10-01,29.33,72.41
2009-11-01,9.15,92.17
2009-12-01,5.48,67.76
2010-01-01,5.52,73.06
2010-02-01,4.23,51.43
2010-03-01,3.74,40.04
