Year,SCA,CCA
2000-02-01,0.23,70.25
2000-03-01,1.09,63.69
2000-04-01,1.43,55.21
2000-05-01,12.86,70.32
2000-06-01,38.35,79.92
2000-07-01,62.59,73.93
2000-08-01,23.13,71.27
2000-09-01,28.00,88.53
2000-10-01,16.63,65.62
2000-11-01,6.86,67.88
2000-12-01,1.37,72.96
2001-01-01,0.98,67.87
2001-02-01,0.72,66.91
2001-03-01,2.90,39.50
2001-04-01,3.69,46.00
2001-05-01,14.65,68.69
2001-06-01,25.65,89.33
2001-07-01,65.89,76.43
2001-08-01,37.62,81.94
2001-09-01,22.68,66.77
2001-10-01,10.04,50.53
2001-11-01,2.93,66.85
2001-12-01,2.03,44.27
2002-01-01,1.01,56.49
2002-02-01,0.78,21.68
2002-03-01,3.08,70.17
2002-04-01,8.69,77.60
2002-05-01,33.74,86.36
2002-06-01,69.37,69.84
2002-07-01,47.45,62.05
2002-08-01,35.59,68.90
2002-09-01,18.78,75.00
2002-10-01,13.26,75.64
2002-11-01,12.98,54.75
2002-12-01,4.65,38.48
2003-01-01,3.05,42.89
2003-02-01,1.94,37.38
2003-03-01,1.59,40.97
2003-04-01,4.46,33.54
2003-05-01,9.68,46.78
2003-06-01,49.11,73.80
2003-07-01,43.41,55.59
2003-08-01,37.42,67.30
2003-09-01,17.84,70.70
2003-10-01,16.75,70.75
2003-11-01,8.46,58.22
2003-12-01,4.18,68.34
2004-01-01,2.58,39.06
2004-02-01,1.39,11.07
2004-03-01,1.73,43.70
2004-04-01,17.43,61.78
2004-05-01,11.56,43.81
2004-06-01,43.99,71.98
2004-07-01,66.34,65.37
2004-08-01,30.13,52.30
2004-09-01,23.18,71.01
2004-10-01,7.98,65.54
2004-11-01,5.86,50.86
2004-12-01,2.39,55.13
2005-01-01,1.58,43.07
2005-02-01,1.02,15.01
2005-03-01,2.66,46.84
2005-04-01,8.74,46.67
2005-05-01,38.84,72.91
2005-06-01,68.95,78.87
2005-07-01,76.35,43.20
2005-08-01,66.73,63.00
2005-09-01,42.02,59.22
2005-10-01,18.13,64.20
2005-11-01,7.73,58.05
2005-12-01,4.04,32.09
2006-01-01,2.06,37.35
2006-02-01,1.41,41.99
2006-03-01,2.66,51.12
2006-04-01,4.82,39.92
2006-05-01,11.28,42.11
2006-06-01,50.93,68.87
